country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000
Albania,789000,787000,785000,783000,781000,779000,777000,775000,773000,771000,769000,772000,775000,777000,780000,782000,781000,780000,779000,778000,776000,775000,774000,773000,772000,772000
Algeria,1670000,1660000,1650000,1640000,1630000,1620000,1610000,1610000,1600000,1590000,1580000,1570000,1560000,1550000,1540000,1540000,1610000,1690000,1770000,1840000,1920000,1930000,1930000,1940000,1950000,1960000
Andorra,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
Angola,61000000,60900000,60700000,60600000,60500000,60400000,60200000,60100000,60000000,59900000,59700000,59600000,59500000,59400000,59200000,59100000,59000000,58900000,58700000,58600000,58500000,58400000,58200000,58100000,58000000,57900000
Antigua and Barbuda,10300,10300,10200,10200,10200,10200,10100,10100,10100,10000,10000,9960,9920,9880,9840,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
Argentina,34800000,34500000,34200000,33900000,33600000,33300000,33000000,32700000,32400000,32200000,31900000,31500000,31200000,30900000,30500000,30200000,29900000,29600000,29200000,28900000,28600000,28300000,28000000,27700000,27400000,27100000
Armenia,,,335000,334000,334000,334000,334000,334000,333000,333000,333000,333000,333000,332000,332000,332000,332000,332000,331000,331000,331000,331000,331000,332000,332000,332000
Australia,129000000,129000000,129000000,129000000,129000000,129000000,129000000,129000000,129000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,127000000,126000000,125000000,124000000,123000000,124000000,124000000,124000000,124000000,125000000
Austria,3780000,3780000,3790000,3790000,3800000,3810000,3810000,3820000,3830000,3830000,3840000,3840000,3840000,3850000,3850000,3850000,3850000,3850000,3860000,3860000,3860000,3860000,3860000,3870000,3870000,3870000
Azerbaijan,,,856000,858000,860000,862000,864000,866000,868000,870000,872000,873000,874000,875000,876000,877000,903000,930000,956000,982000,1010000,1030000,1060000,1090000,1110000,1140000
Bahamas,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000
Bahrain,220,230,250,260,280,290,310,320,340,360,370,390,400,420,430,450,460,480,490,510,530,540,560,570,590,600
Bangladesh,1490000,1490000,1490000,1490000,1480000,1480000,1480000,1480000,1470000,1470000,1470000,1470000,1460000,1460000,1460000,1460000,1450000,1450000,1450000,1440000,1440000,1440000,1440000,1430000,1430000,1430000
